"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SqlReference","SqlReference","","","",0,*,"","","","null {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SqlReference.name","SqlReference.name","","","",1,1,"","","Y","string {[]} {[]}
","Name of reference","Name of reference","","","","","","","","","",,,,,"",,,,"SqlReference.name",1,1,"",""
"SqlReference.resourceType","SqlReference.resourceType","","","",1,1,"","","Y","code {[]} {[]}
","Resource type","Resource type","","","","","","","","","",,,,,"",,,,"SqlReference.resourceType",1,1,"",""
"SqlReference.resourceId","SqlReference.resourceId","","","",1,1,"","","Y","string {[]} {[]}
","Resource id","Resource id","","","","","","","","","",,,,,"",,,,"SqlReference.resourceId",1,1,"",""
